Rocket Name,BlRv_SN2487
Firmware,25a237f 10/12/2025 15:57:13
Serial number,SN2487 BlRv_SN2487
Max Altitude,9542.99 feet
Max velocity,1143.27 feet/sec
Pad altitude ASL,1151.33 feet
Launch date,29-Mar-26
Launch time,08:47:13.582
Time to first burnout,3.4 sec
Time to Apo channel fire,26.1 sec
Time to gyro overload,0.1 sec
Time to third channel fire,0.0 sec
Time to main channel fire,115.3 sec
Time to fourth channel fire,136.7 sec
Launch rod angle,6.8 deg
Tilt angle at burnout,38.1 deg
Roll rate at burnout,537.4 deg/sec
Thrust tilt efficiency,81.31%
Number of ascent rolls,11.956
Horiz. velocity at apogee,517.6 feet/sec
Inertial navigation max alt,7890.6 feet
Max motor burn acceleration,13.6 Gs
Peak drag deceleration,11.7 Gs
Apo channel max accel,26.6 Gs
Main channel max accel,2.3 Gs
3rd channel max accel,0.0 Gs
4th channel max accel,1.3 Gs
Max landing accel,76.1 Gs
Drogue descent rate,-72.0 feet/sec
Main chute deploy altitude,1389.1 feet
Main chute descent rate,-13.8 feet
Landing Time,08:49:55.122
Temperature on pad,65.9 F
Max Temperature,68.1 F
Min Temperature,65.53 F
Battery voltage on pad,3.93 V
Min Battery voltage,2.68 V
Battery voltage at landing,3.9 V
Build date,12-Oct-25
Build time,15:57:13.000
Flight number,13
Direction of 1st motion,0.9989,-0.0256,0.0384
Gravity direction on pad,0.9947,-0.0764,-0.0682
Low-G accel pad offset,-0.0058,0.0004,0.0004
Hi-G accel pad offset,-0.14,0.08,-0.15
Pad gyro rates (deg/sec),-0.24,0.23,-0.33
Pad Hi-G accel,0.86,0.01,-0.22
Pad Low-G Accel,0.99,-0.08,-0.07
