log_us,sink_state,imu_state,imu_sample_us,imu_lagged,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_gx_rad_s,imu_gy_rad_s,imu_gz_rad_s,aux_imu_state,aux_imu_sample_us,aux_imu_lagged,aux_imu_ax_mps2,aux_imu_ay_mps2,aux_imu_az_mps2,aux_imu_gx_rad_s,aux_imu_gy_rad_s,aux_imu_gz_rad_s,baro_state,baro_sample_us,baro_lagged,baro_pressure_pa,baro_temp_c

1122208067,healthy,fresh,1122206919,0,0.28378218,-0.7310085,9.610877,-0.05746816,-0.04895436,0.12132168,fresh,1122207125,0,0.5694918,-0.15314065,9.834501,-0.008552114,0.0012217305,0.017104227,stale,1122161038,0,97119,24.99
1122218821,healthy,fresh,1122218093,0,0.41130456,-0.67532974,9.522868,0.051082812,0.023412954,0.03618366,fresh,1122218342,0,0.66999036,-0.09092726,9.848858,-0.004886922,-0.008552114,0.014660766,fresh,1122216967,0,97120,24.99
1122229574,healthy,fresh,1122228847,0,0.45081854,-0.6879024,9.634226,-0.017027603,-0.008513802,-0.04469746,fresh,1122228659,0,0.5886344,-0.076570325,9.781859,-0.007330383,0.002443461,0.018325957,stale,1122216967,0,97120,24.99
1122240341,healthy,fresh,1122239829,0,0.3179079,-0.66275716,9.616265,-0.031926755,-0.093651816,0.019156054,fresh,1122239622,0,0.57906306,-0.10049855,9.820144,-0.007330383,-0.0012217305,0.018325957,fresh,1122237697,0,97120,25
1122251051,healthy,fresh,1122249929,0,0.2819861,-0.6465923,9.612673,0.102165624,0.034055207,-0.03618366,fresh,1122250127,0,0.56470615,-0.11006984,9.858429,-0.010995574,0.0012217305,0.021991149,stale,1122237697,0,97120,25
1122261796,healthy,fresh,1122261068,0,0.3699945,-0.68251413,9.589323,0.04044056,-0.019156054,0.010642252,fresh,1122261270,0,0.5838487,-0.11485548,9.8632145,-0.0061086523,0.0012217305,0.02076942,fresh,1122258395,0,97118,24.99
1122272522,healthy,fresh,1122271762,0,0.32509226,-0.6106705,9.504908,-0.031926755,0.04044056,0.076624215,fresh,1122271565,0,0.5599205,-0.043070808,9.839287,-0.0061086523,-0.0012217305,0.02076942,stale,1122258395,0,97118,24.99
1122283272,healthy,fresh,1122282761,0,0.3017431,-0.7130477,9.5857315,0.070238866,-0.04044056,0.029798307,fresh,1122282573,0,0.5838487,-0.086141616,9.82493,-0.007330383,-0.0036651916,0.021991149,fresh,1122278872,0,97120,25.01
1122294013,healthy,fresh,1122292881,0,0.30713135,-0.6645532,9.589323,-0.10642252,-0.12983547,-0.07875267,fresh,1122293074,0,0.5694918,-0.13399807,9.820144,-0.007330383,0,0.018325957,stale,1122278872,0,97120,25.01
1122304751,healthy,fresh,1122304041,0,0.27480173,-0.7058633,9.549809,0.102165624,-0.06385351,0.023412954,fresh,1122304241,0,0.5455636,-0.10049855,9.9015,-0.008552114,-0.0012217305,0.013439035,fresh,1122299634,0,97116,25.01
1122315497,healthy,fresh,1122314755,0,0.37897494,-0.6735337,9.542625,-0.093651816,0.0021284504,-0.10855097,fresh,1122314562,0,0.60777694,-0.148355,9.829716,-0.007330383,0.004886922,0.02076942,stale,1122299634,0,97116,25.01
1122326266,healthy,fresh,1122325758,0,0.35742188,-0.6573689,9.587527,0.12983547,0.12132168,0.0063853515,fresh,1122325568,0,0.5886344,-0.062213387,9.810573,-0.012217305,0.0036651916,0.012217305,fresh,1122321258,0,97122,24.99
1122337233,healthy,fresh,1122336464,0,0.25324866,-0.6519806,9.560586,0.07449576,0.2149735,0.14686307,fresh,1122336662,0,0.47856453,-0.062213387,9.853643,-0.008552114,0.004886922,0.015882496,stale,1122321258,0,97122,24.99
1122347966,healthy,fresh,1122347094,0,0.3161118,-0.61246663,9.55879,-0.05321126,-0.021284504,0.093651816,fresh,1122347296,0,0.56470615,-0.09571291,9.762716,-0.008552114,-0.002443461,0.014660766,fresh,1122344706,0,97119,24.99
1122358690,healthy,fresh,1122357733,0,0.36281013,-0.64479625,9.594711,0.06385351,0.03618366,-0.20645969,fresh,1122357540,0,0.5455636,-0.02871387,9.844072,-0.010995574,0,0.017104227,stale,1122344706,0,97119,24.99
1122369455,healthy,fresh,1122368822,0,0.3143157,-0.58732134,9.60908,-0.027669856,-0.0021284504,-0.068110414,fresh,1122368626,0,0.57906306,-0.086141616,9.882358,-0.0061086523,-0.002443461,0.015882496,fresh,1122366439,0,97119,24.99
1122380231,healthy,fresh,1122379268,0,0.3879554,-0.5657683,9.542625,0.11493632,-0.085138015,-0.012770703,fresh,1122379463,0,0.57906306,0,9.834501,-0.009773844,0.004886922,0.019547688,stale,1122366439,0,97119,24.99
1122390970,healthy,fresh,1122390096,0,0.2640252,-0.6430001,9.589323,-0.08939492,-0.05321126,0.017027603,fresh,1122390302,0,0.55034924,-0.06699903,9.79143,-0.009773844,0.004886922,0.02443461,fresh,1122387706,0,97121,25
1122401694,healthy,fresh,1122400692,0,0.2640252,-0.62683535,9.51748,0.042569008,0.10429407,0.08939492,fresh,1122400502,0,0.57427746,-0.038285162,9.820144,-0.008552114,0.002443461,0.02687807,stale,1122387706,0,97121,25
1122412457,healthy,fresh,1122411780,0,0.299947,-0.6322236,9.530052,0.008513802,0.025541406,0.014899153,fresh,1122411581,0,0.5599205,-0.038285162,9.805787,-0.008552114,0.002443461,0.02687807,fresh,1122408220,0,97121,24.99
1122423229,healthy,fresh,1122422819,0,0.22630732,-0.64838845,9.537237,0.010642252,-0.12983547,0.04895436,fresh,1122422632,0,0.56470615,-0.09571291,9.801002,-0.009773844,0.0036651916,0.02687807,stale,1122408220,0,97121,24.99
1122433961,healthy,fresh,1122433011,0,0.3143157,-0.6537767,9.560586,-0.019156054,-0.08300956,-0.10855097,fresh,1122433207,0,0.55034924,-0.023928227,9.815358,-0.012217305,0.0012217305,0.021991149,fresh,1122428897,0,97120,25.01
1122444691,healthy,fresh,1122443703,0,0.28737438,-0.57474875,9.490539,-0.05321126,0.08300956,0.06385351,fresh,1122443517,0,0.55034924,-0.062213387,9.848858,-0.012217305,0.0012217305,0.02321288,stale,1122428897,0,97120,25.01
1122455423,healthy,fresh,1122454726,0,0.17781289,-0.6322236,9.603692,0,-0.014899153,0.06598196,fresh,1122454532,0,0.41635114,-0.047856454,9.796216,-0.007330383,0,0.019547688,fresh,1122450337,0,97120,24.99
1122466182,healthy,fresh,1122465020,0,0.299947,-0.5819331,9.569567,-0.019156054,-0.0021284504,0.12557858,fresh,1122465224,0,0.49292147,-0.038285162,9.925428,-0.013439035,0.004886922,0.019547688,stale,1122450337,0,97120,24.99
1122476933,healthy,fresh,1122475872,0,0.22091904,-0.71484375,9.639614,-0.05746816,0.014899153,0.023412954,fresh,1122476071,0,0.526421,-0.05742774,9.896714,-0.010995574,0,0.012217305,fresh,1122471754,0,97119,24.99
1122487664,healthy,fresh,1122486697,0,0.23169559,-0.7238242,9.671944,0.07449576,-0.014899153,0.017027603,fresh,1122486511,0,0.4833502,-0.076570325,9.829716,-0.008552114,0,0.014660766,stale,1122471754,0,97119,24.99
1122498387,healthy,fresh,1122497481,0,0.2460643,-0.6537767,9.630633,-0.038312107,-0.008513802,0.004256901,fresh,1122497683,0,0.47377887,-0.014356935,9.839287,-0.008552114,0.002443461,0.018325957,fresh,1122495417,0,97121,25.01
1122509138,healthy,fresh,1122507979,0,0.24426821,-0.6645532,9.603692,0.070238866,0.05746816,0.11493632,fresh,1122508179,0,0.53599226,-0.15314065,9.906285,-0.008552114,0,0.018325957,stale,1122495417,0,97121,25.01
1122519875,healthy,fresh,1122519028,0,0.24247213,-0.6645532,9.684516,-0.027669856,-0.04469746,-0.004256901,fresh,1122519231,0,0.5886344,0.014356935,9.671789,-0.009773844,0,0.02076942,fresh,1122516463,0,97119,24.99
