UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Mar 30 2026 13:47:10.400 UTC,1774896430.4,1362.3,33.49817,-99.33435,27,3,0,0,126,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:10.500 UTC,1774896430.5,1362.3,33.49817,-99.33435,27,3,0,0,48,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:10.600 UTC,1774896430.6,1362.3,33.49817,-99.33435,27,3,0,0,-6,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:10.700 UTC,1774896430.7,1362.3,33.49817,-99.33435,27,3,0,0,-158,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:10.800 UTC,1774896430.8,1362.3,33.49817,-99.33435,27,3,0,0,94,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:10.900 UTC,1774896430.9,1362.3,33.49817,-99.33435,27,3,0,0,-17,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.000 UTC,1774896431.0,1362.3,33.49817,-99.33435,27,3,0,0,-96,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.100 UTC,1774896431.1,1362.3,33.49817,-99.33435,27,3,0,0,104,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.200 UTC,1774896431.2,1362.3,33.49817,-99.33435,27,3,0,0,-77,1,2,14,7,-55,4.055,0.3,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.300 UTC,1774896431.3,1362.4,33.49817,-99.33435,27,3,0,0,-52,1,2,14,7,-55,4.055,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.400 UTC,1774896431.4,1362.4,33.49817,-99.33435,27,3,0,0,164,1,2,15,6,-55,4.055,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.700 UTC,1774896431.7,1362.4,33.49817,-99.33435,27,3,0,0,-150,1,2,14,7,-55,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.800 UTC,1774896431.8,1362.4,33.49817,-99.33435,27,3,0,0,117,1,2,15,6,-55,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:11.900 UTC,1774896431.9,1362.4,33.49817,-99.33435,27,3,0,0,-123,1,2,14,7,-55,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:12.000 UTC,1774896432.0,1362.4,33.49817,-99.33435,27,3,0,0,69,1,2,14,7,-55,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:12.100 UTC,1774896432.1,1362.4,33.49817,-99.33435,27,3,0,0,-110,1,2,14,7,-55,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:12.200 UTC,1774896432.2,1362.4,33.49817,-99.33435,27,3,0,0,-1,1,2,14,7,-56,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:12.300 UTC,1774896432.3,1362.4,33.49817,-99.33435,27,3,0,0,-117,1,2,14,7,-56,4.046,0.4,FALSE,FALSE,FALSE,0.0000
Mar 30 2026 13:47:12.400 UTC,1774896432.4,1362.4,33.49817,-99.33435,27,3,0,0,96,1,2,13,8,-56,4.046,0.4,FALSE,FALSE,FALSE,0.0000
