time_s,featherweight_source_time_s,marv_source_time_s,featherweight_navigation_unix_time_s,featherweight_navigation_gps_altitude_asl_m,featherweight_navigation_gps_altitude_agl_m,featherweight_navigation_latitude_deg,featherweight_navigation_longitude_deg,featherweight_navigation_satellite_count,featherweight_navigation_fix_type,featherweight_navigation_horizontal_speed_mps,featherweight_navigation_vertical_speed_mps,featherweight_navigation_course_heading_deg,featherweight_navigation_battery_v,featherweight_navigation_distance_ft,featherweight_navigation_distance_m,featherweight_navigation_flags,featherweight_navigation_rssi_dbm,featherweight_navigation_count_gt_40,featherweight_navigation_count_gt_32,featherweight_navigation_count_gt_24,featherweight_events_launch_detected,featherweight_events_apogee_detected,featherweight_events_landing_detected,marv_baro_log_time_s,marv_baro_sample_time_us,marv_baro_log_time_us,marv_baro_lagged,marv_baro_pressure_pa,marv_baro_temperature_c,marv_primary_imu_log_time_s,marv_primary_imu_sample_time_us,marv_primary_imu_log_time_us,marv_primary_imu_lagged,marv_primary_imu_accelerometer_x_mps2,marv_primary_imu_accelerometer_y_mps2,marv_primary_imu_accelerometer_z_mps2,marv_primary_imu_gyroscope_x_rad_s,marv_primary_imu_gyroscope_y_rad_s,marv_primary_imu_gyroscope_z_rad_s,marv_aux_imu_log_time_s,marv_aux_imu_sample_time_us,marv_aux_imu_log_time_us,marv_aux_imu_lagged,marv_aux_imu_accelerometer_x_mps2,marv_aux_imu_accelerometer_y_mps2,marv_aux_imu_accelerometer_z_mps2,marv_aux_imu_gyroscope_x_rad_s,marv_aux_imu_gyroscope_y_rad_s,marv_aux_imu_gyroscope_z_rad_s
0.057055,2.2220548092651375,0.057055,1774896432.6220548,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-109.09555994478092,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.05895191075735649,1122218093.0,1122219989.9107573,False,97120.0,24.990543174143752,0.057783,1122218093.0,1122218821.0,False,0.41130456,-0.67532974,9.522868,0.051082812,0.023412954,0.03618366,0.05754427788178658,1122218093.0,1122218582.2778819,False,0.667759447863065,-0.09230830075153784,9.84853929687082,-0.004968283576892217,-0.008335149813452796,0.014715007043861996
0.067809,2.2328088092651375,0.067809,1774896432.632809,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-88.66298917380787,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.07011573516642546,1122228847.0,1122231153.7351663,False,97120.0,24.99573082489146,0.068536,1122228847.0,1122229574.0,False,0.45081854,-0.6879024,9.634226,-0.017027603,-0.008513802,-0.04469746,0.06872063887622,1122228847.0,1122229758.6388762,False,0.5884702650077533,-0.07698066033704276,9.782515533795495,-0.007330383,0.002380608131077262,0.018325957
0.078791,2.2437908092651373,0.078791,1774896432.643791,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-67.7972190225315,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.08151297487679969,1122239829.0,1122242550.9748769,False,97119.79398975747,24.998969948787323,0.079303,1122239829.0,1122240341.0,False,0.3179079,-0.66275716,9.616265,-0.031926755,-0.093651816,0.019156054,0.07951403950499762,1122239829.0,1122240552.039505,False,0.5787801584892908,-0.1006871513355545,9.820898402189435,-0.007402605231032841,-0.0011735823394098052,0.018398179250737744
0.088891,2.2538908092651373,0.088891,1774896432.6538908,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-48.607246474007425,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.09198236805488452,1122249929.0,1122253020.3680549,False,97118.81805005315,24.994090250265725,0.090013,1122249929.0,1122251051.0,False,0.2819861,-0.6465923,9.612673,0.102165624,0.034055207,-0.03618366,0.08981113612565444,1122249929.0,1122250849.1361256,False,0.5649767514450262,-0.10988943872251308,9.857707397905758,-0.010926491865968585,0.0011756757376963343,0.02192206684712042
0.10003,2.2650298092651373,0.10003,1774896432.66503,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-27.44317674945202,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.10356140616301215,1122261068.0,1122264599.406163,False,97118.26107339942,24.992610733994237,0.100758,1122261068.0,1122261796.0,False,0.3699945,-0.68251413,9.589323,0.04044056,-0.019156054,0.010642252,0.10056321493314188,1122261068.0,1122261601.2149332,False,0.5835016843758413,-0.1147687260486404,9.863127748586557,-0.006197242283254064,0.0012217305,0.020791567469981155
0.110724,2.2757238092651373,0.110724,1774896432.6757238,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,-7.124605815400884,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.11477712838794746,1122271762.0,1122275815.128388,False,97119.30556233824,25.00305562338233,0.111484,1122271762.0,1122272522.0,False,0.32509226,-0.6106705,9.504908,-0.031926755,0.04044056,0.076624215,0.1116763828125,1122271762.0,1122272714.3828125,False,0.5603487208757268,-0.04384160643531978,9.839030066042879,-0.006130516484947311,-0.0012654588645258,0.020791284154523984
0.121723,2.2867228092651373,0.121723,1774896432.686723,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,13.773464289670045,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.12625730367979965,1122282761.0,1122287295.3036797,False,97119.25074655621,25.01,0.122234,1122282761.0,1122283272.0,False,0.3017431,-0.7130477,9.5857315,0.070238866,-0.04044056,0.029798307,0.1224262967336444,1122282761.0,1122283464.2967336,False,0.5835916676030855,-0.0869983928166841,9.824844315969909,-0.007330383,-0.003599573466412725,0.021925530859251502
0.131843,2.2968428092651374,0.131843,1774896432.696843,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,33.00143678383472,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.13672679024178788,1122292881.0,1122297764.7902417,False,97117.30103072921,25.01,0.132975,1122292881.0,1122294013.0,False,0.30713135,-0.6645532,9.589323,-0.10642252,-0.12983547,-0.07875267,0.13277758899152464,1122292881.0,1122293815.5889916,False,0.5697556683649176,-0.13311850656585086,9.820231962860682,-0.007330383,-6.736329671459861e-05,0.01839332030406628
0.143003,2.3080028092651377,0.143003,1774896432.7080028,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,39.56020052066858,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.14809778565482798,1122304041.0,1122309135.7856548,False,97117.22280799111,25.005923973362933,0.143713,1122304041.0,1122304751.0,False,0.27480173,-0.7058633,9.549809,0.102165624,-0.06385351,0.023412954,0.14352068335273574,1122304041.0,1122304558.6833527,False,0.5459921519835229,-0.10109852349332858,9.900042921106833,-0.008530232903913314,-0.0011998494128682721,0.013526559348526913
0.153717,2.3187168092651373,0.153717,1774896432.7187169,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27.0,3.0,0.0,0.0,40.31018123590592,4.046,0.0,0.0,True,-56.0,2.0,14.0,7.0,False,False,False,0.1587577796429893,1122314755.0,1122319795.779643,False,97120.19561598224,24.996014613392525,0.154459,1122314755.0,1122315497.0,False,0.37897494,-0.6735337,9.542625,-0.093651816,0.0021284504,-0.10855097,0.154647843994185,1122314755.0,1122315685.8439941,False,0.6074412585335273,-0.14684443019180446,9.829380310467018,-0.007416079524259494,0.0048654978706887154,0.02061945105624205
