# Simulation 13 (Up to date)
# 1060 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.3 m/s):  "Main Parachute + Bag"
#
# Time (s),Angle of attack (°),Thrust (N),Drag coefficient (​),Axial drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,90,0,0.585,0,0.007
0.01,89.948,323.397,0.585,0,0.007
0.02,88.316,646.794,0.586,3.67e-5,0.007
0.03,84.06,970.191,0.585,0.002,0.007
0.04,77.314,1293.588,0.584,0.014,0.007
0.05,68.553,1616.985,0.579,0.06,0.008
# Event LIFTOFF occurred at t=0.06 seconds
0.06,58.625,1940.382,0.572,0.16,0.008
0.07,48.784,2263.779,0.561,0.303,0.009
0.082,38.408,2651.855,0.545,0.47,0.011
0.092,31.758,2659.545,0.532,0.564,0.013
0.102,26.927,2667.236,0.52,0.614,0.015
0.112,23.53,2674.926,0.51,0.635,0.017
0.122,20.897,2682.617,0.501,0.641,0.02
0.132,18.804,2690.307,0.494,0.64,0.022
0.142,17.104,2697.998,0.487,0.633,0.024
0.152,15.68,2705.688,0.481,0.623,0.027
0.162,14.41,2713.378,0.475,0.609,0.029
0.172,13.33,2721.069,0.47,0.595,0.032
0.182,12.436,2728.433,0.466,0.581,0.034
0.19,11.707,2735.269,0.462,0.569,0.036
0.199,11.098,2741.675,0.459,0.558,0.038
# Event LAUNCHROD occurred at t=0.207 seconds
0.207,10.548,2747.726,0.456,0.549,0.04
0.218,9.797,2756.801,0.452,0.535,0.043
0.236,8.838,2770.413,0.447,0.518,0.047
0.249,8.244,2780.285,0.443,0.507,0.051
0.268,7.513,2784.949,0.438,0.493,0.055
0.297,6.625,2791.944,0.432,0.476,0.063
0.34,5.43,2802.437,0.424,0.455,0.074
0.39,4.458,2814.547,0.417,0.438,0.087
0.416,4.134,2820.733,0.413,0.432,0.093
0.454,3.756,2825.844,0.409,0.424,0.103
0.504,3.158,2832.513,0.404,0.415,0.116
0.554,2.56,2839.183,0.4,0.407,0.129
0.583,2.341,2843.01,0.398,0.405,0.137
0.626,2.095,2844.228,0.399,0.404,0.148
0.676,1.751,2845.643,0.399,0.403,0.162
0.726,1.449,2847.058,0.4,0.402,0.175
0.751,1.356,2847.765,0.4,0.402,0.182
0.788,1.239,2848.539,0.401,0.402,0.192
0.838,0.995,2849.572,0.401,0.402,0.205
0.888,0.849,2850.605,0.402,0.403,0.218
0.918,0.708,2851.215,0.402,0.403,0.226
0.962,0.458,2852.155,0.403,0.403,0.238
1.012,0.249,2853.216,0.404,0.404,0.252
1.062,0.024,2854.277,0.405,0.405,0.265
1.084,0.091,2854.737,0.405,0.405,0.271
1.117,0.267,2856.083,0.406,0.406,0.28
1.165,0.493,2858.101,0.406,0.407,0.293
1.215,0.647,2860.171,0.407,0.408,0.307
1.252,0.771,2861.69,0.408,0.409,0.317
1.302,0.841,2860.618,0.409,0.41,0.33
1.352,0.816,2859.546,0.41,0.411,0.344
1.402,0.782,2858.474,0.412,0.412,0.358
1.42,0.779,2858.088,0.412,0.413,0.363
1.447,0.761,2856.949,0.413,0.413,0.37
1.487,0.702,2855.241,0.414,0.414,0.381
1.537,0.573,2853.132,0.415,0.415,0.395
1.586,0.41,2851.086,0.416,0.417,0.408
1.636,0.237,2849.162,0.418,0.418,0.421
1.686,0.023,2847.238,0.419,0.419,0.435
